Gene	ExpAgeP-value	ExpAgeDirection	MethAgeP-value	MethAgeDirection	ExpMethP-value	ExpMethDirection	TopMediator	Z-score	MedP-value	NoCpGsTested	NoBonferroniSig
U2AF1L4	2,2E-06	-------	2,3E-11	-----+-	8,9E-17	+++++++	cg18593194	-5,2	9,5E-08	331	4
ATP1B3	4,8E-06	++++-++	3,5E-31	+++++++	4,5E-06	-++++++	cg02748419	4,3	9,9E-06	55	4
LARP1B	1,5E-05	+-----+	2,6E-11	------+	8,3E-02	+--++++	cg16301894	-1,7	4,7E-02	71	0
DENR	3,2E-09	+------	7,2E-16	+++++-+	4,3E-19	-+-----	cg17346246	-6,0	1,1E-09	191	5
MRPS9	3,2E-05	-------	7,9E-17	+++++++	1,9E-34	-------	cg19235893	-6,9	2,8E-12	138	3
C11orf31	1,1E-03	-------	6,6E-16	+------	1,5E-05	-++-+++	cg27315497	-3,8	6,9E-05	149	2
CYP2E1	1,5E-03	----+--	4,3E-06	+++++++	4,6E-04	-+-----	cg20365330	-2,8	2,7E-03	246	0
IPCEF1	2,3E-04	---?---	8,1E-07	---?---	6,0E-03	+++?+-+	cg09288789	-2,4	8,2E-03	57	0
NCR1	4,0E-02	+-++??+	2,7E-05	----??-	2,1E-05	-+--??-	cg12952132	3,0	1,4E-03	100	0
RRN3P1	2,6E-04	----?--	6,2E-08	++++?++	9,5E-14	----?--	cg06257110	-4,4	6,0E-06	58	1
DCK	6,3E-11	---?---	2,2E-09	+++?++-	1,3E-07	---?--+	cg06016427	-4,0	3,8E-05	49	2
SRSF1	4,0E-08	-------	5,8E-20	-------	2,0E-22	+++++++	cg10690440	-6,7	1,3E-11	162	8
TGDS	4,5E-04	+------	1,8E-04	------+	3,3E-05	+++++++	cg00616243	-2,8	2,7E-03	85	0
HSPE1	8,2E-08	-------	4,7E-31	-------	1,3E-07	+++-++-	cg17016369	-4,8	7,9E-07	97	3
NACA	6,2E-08	-------	2,2E-08	-------	3,0E-08	-+++++-	cg12199011	-3,9	4,1E-05	100	1
CXXC5	6,4E-11	+------	9,3E-45	-------	5,1E-56	+++++++	cg04232128	-10,5	5,1E-26	198	16
GRB10	1,5E-04	-++++++	1,2E-43	+------	3,5E-05	-------	cg25823373	4,0	3,7E-05	124	1
PPIL1	1,7E-04	-------	6,2E-11	+------	2,1E-17	+++++++	cg18964319	-5,2	1,1E-07	119	8
CEP135	7,3E-06	-------	2,3E-07	-++++-+	1,2E-06	+--+--+	cg18463607	-3,5	2,0E-04	56	2
PIGP	4,3E-06	---?-+-	2,0E-17	---?---	6,5E-55	+++?+++	cg21832243	-7,5	4,3E-14	69	2
HP	2,4E-03	--+++-+	8,9E-16	-------	5,0E-18	+------	cg09584711	5,9	1,9E-09	84	4
PPWD1	4,3E-06	------+	1,1E-03	+----+-	2,1E-02	+++-+++	cg03550620	-1,9	2,9E-02	50	0
NSUN2	5,4E-10	-------	5,4E-08	+-+----	3,5E-04	-++++++	cg12970171	-3,0	1,4E-03	124	0
GDE1	2,7E-16	+++++++	2,6E-14	+------	6,9E-04	---+---	cg27333283	3,1	9,7E-04	71	0
NCBP2	2,2E-09	-------	1,3E-56	+++++++	1,2E-22	-------	cg21104449	-8,3	4,0E-17	90	3
KRI1	2,8E-05	+------	2,3E-15	+------	7,1E-32	+++-+++	cg26847100	-6,6	2,5E-11	270	6
USP44	7,3E-02	----+--	1,0E-24	+++++++	1,1E-03	-------	cg13879483	-3,1	9,3E-04	72	0
NIN	3,7E-03	+-+----	1,5E-15	++-++++	3,2E-05	-------	cg16449219	-3,7	1,1E-04	81	1
ZNF175	1,5E-01	---+-++	7,9E-29	-----+-	1,7E-11	-++++++	cg10126923	-5,8	4,2E-09	138	2
C1orf216	2,3E-03	++-++?+	6,8E-22	-----?-	4,6E-11	-----?-	cg24940583	5,4	2,8E-08	122	7
TRIM21	1,8E-09	+++++++	2,5E-57	-------	3,6E-08	-------	cg21995261	5,2	9,7E-08	47	2
GRWD1	5,9E-05	+----++	1,5E-13	-------	1,7E-06	--+++++	cg24030173	-4,0	3,0E-05	276	4
LOC338799	6,0E-03	+---?--	2,3E-12	++++?++	8,1E-08	----?--	cg10207240	-4,3	1,0E-05	214	3
THAP11	4,4E-08	+------	2,2E-80	-------	4,4E-18	-++++++	cg04033732	-7,9	1,6E-15	288	8
LARP4	1,6E-04	-------	1,0E-10	+------	4,9E-05	-++++++	cg22479546	-3,4	2,9E-04	65	1
RPS29	2,6E-03	---+---	3,5E-83	-------	4,4E-02	++++++-	cg16219535	-2,0	2,2E-02	80	0
TCIRG1	8,1E-08	+++?+++	1,9E-22	+--?---	1,4E-34	---?---	cg07730301	7,6	1,2E-14	148	17
TDP1	2,9E-03	------+	1,1E-11	+------	9,8E-06	+++++++	cg01965636	-3,7	1,1E-04	70	1
VARS	1,3E-05	+-----+	6,6E-46	+------	8,3E-08	-++-++-	cg04489104	-5,0	2,7E-07	1494	9
CYCS	3,5E-05	+------	2,3E-21	-------	1,9E-11	-++-+++	cg01322214	-5,5	2,1E-08	58	2
IFT74	1,4E-02	----++-	2,3E-15	-------	2,6E-01	-+-++--	cg13913108	-1,1	1,4E-01	16	0
SORCS3	3,2E-02	++++?-+	3,9E-07	++-+?++	5,0E-02	++++?-+	cg18022662	1,8	3,4E-02	40	0
HNRNPH1	4,0E-04	-------	1,1E-22	-------	5,8E-20	+++++++	cg20740299	-6,7	1,1E-11	207	9
RPL17	1,3E-07	-------	2,1E-04	-+---++	5,6E-03	+++-++-	cg23865597	-2,2	1,3E-02	39	0
BAG3	3,4E-04	----++-	3,7E-53	+++++++	7,4E-69	-------	cg16596052	-11,6	3,7E-31	110	14
LRRC33	3,3E-02	++-+-++	1,3E-24	-------	1,7E-04	-+-----	cg06690168	3,5	2,1E-04	107	1
SIAH2	1,1E-08	-++++++	3,0E-63	-------	3,2E-07	+------	cg24721964	4,9	5,0E-07	75	2
FAM134A	2,9E-06	-++++++	1,4E-29	-------	1,4E-03	+------	cg06755438	3,1	1,1E-03	317	0
ERGIC1	6,0E-03	+-+++++	2,6E-92	-------	9,5E-19	+-----+	cg26316599	8,1	2,5E-16	192	11
TOMM70A	7,4E-07	-------	5,2E-35	+------	1,4E-12	+++++++	cg16984944	-6,2	4,0E-10	87	5
ACADVL	1,3E-06	+++++++	6,9E-09	-------	1,3E-07	-------	cg24944395	3,9	4,7E-05	473	2
MFN2	5,7E-05	+++++?+	2,1E-33	-----?-	9,5E-06	+--+-?-	cg15527643	4,2	1,6E-05	194	6
SPECC1L	6,0E-05	-------	2,7E-53	+++++++	1,4E-14	-+-----	cg26354221	-6,9	3,0E-12	122	11
PRRG4	6,9E-04	-+++-++	1,6E-11	-------	6,8E-06	++-----	cg26268276	3,7	9,1E-05	80	2
HSPA9	2,4E-07	+------	6,0E-11	-------	6,6E-17	-++++++	cg05722427	-5,2	1,3E-07	123	4
FAM160A2	1,1E-02	+++++-+	4,4E-29	+++++++	7,9E-09	-+++-++	cg16230121	5,1	1,5E-07	139	3
IRF9	1,8E-06	+++++-+	1,5E-27	-------	1,1E-06	++-+--+	cg00951869	4,4	4,5E-06	319	4
ERGIC3	1,4E-03	+------	9,5E-18	-------	7,9E-31	++++++-	cg23713742	-6,9	2,9E-12	128	3
CRELD1	6,8E-07	------+	3,7E-161	-------	4,8E-09	-++-+++	cg14583999	-5,7	5,2E-09	228	8
TBRG4	4,5E-04	+------	5,1E-37	+++++++	4,4E-19	-------	cg26720010	-7,3	1,4E-13	112	3
4,2E+04	3,5E-05	---?---	1,3E-20	+++?+-+	5,0E-41	+--?---	cg20772590	-7,7	1,0E-14	229	32
LEO1	1,0E-05	------+	2,8E-76	-------	1,1E-14	+++++++	cg27332104	-7,1	5,0E-13	99	5
FUCA2	6,1E-06	-++++++	1,3E-33	+------	2,8E-06	-------	cg12020682	4,4	6,2E-06	78	1
HIBADH	1,4E-06	+-----+	8,3E-30	-------	1,4E-18	++++++-	cg02842382	-7,0	1,8E-12	45	4
MTERFD1	3,1E-07	+--?---	1,9E-09	+--?---	9,8E-09	--+?+++	cg09096671	-4,2	1,7E-05	97	2
DHRS9	1,4E-04	-+++-++	8,7E-10	+------	5,5E-20	-------	cg01462353	5,1	1,7E-07	36	3
ANAPC16	8,7E-04	+----+-	3,2E-30	+++++++	1,0E-32	+------	cg05988358	-8,2	8,3E-17	109	12
TAGLN	5,3E-03	++-++++	2,8E-15	+++-++-	4,1E-127	+++++++	cg16524733	7,5	3,1E-14	106	3
AHSA1	1,1E-05	-----++	3,1E-09	-------	4,5E-06	++++++-	cg18908845	-3,6	1,4E-04	111	1
PNPLA6	9,4E-06	++++-++	9,5E-74	-------	1,1E-05	----+--	cg08356214	4,3	9,7E-06	217	1
MZF1	1,7E-05	-------	5,4E-42	-------	5,1E-04	++++---	cg01592687	-3,4	3,8E-04	220	0
SLC25A15	2,2E-05	+----+-	2,8E-23	+++++++	4,6E-08	-+-----	cg18368845	-4,8	8,4E-07	62	2
IFI30	8,8E-09	+++++++	3,7E-36	-------	1,9E-19	-------	cg22313519	7,3	1,2E-13	263	9
GPX1	8,7E-06	+++++++	3,2E-36	-------	2,2E-05	-------	cg14798641	4,0	2,9E-05	166	1
ABCF1	3,2E-04	------+	8,1E-79	-------	5,6E-21	++++++-	cg14753356	-8,4	2,1E-17	867	42
REPS2	1,7E-04	-?+++++	6,3E-07	+?-----	1,8E-06	+?----+	cg22635885	3,5	2,8E-04	103	3
QTRT1	3,9E-07	+------	2,3E-15	+------	1,1E-16	+++++++	cg26847100	-5,7	5,1E-09	236	2
CFH	1,0E-01	-+++??+	7,8E-10	++++??-	1,5E-08	-+++??+	cg09177518	4,2	1,6E-05	18	5
RAB7L1	4,9E-02	++-+-?+	2,8E-48	--+--?-	3,4E-59	-----?-	cg02912371	10,9	9,7E-28	136	25
SIRT4	7,3E-07	---?---	3,6E-104	---?---	3,4E-05	+++?+++	cg20153322	-4,1	2,4E-05	189	1
PTP4A2	3,4E-02	++-++?+	1,0E-34	+++++?+	1,2E-22	-++++?+	cg16704678	7,7	9,2E-15	165	19
GNB2L1	2,3E-03	-------	1,0E-16	+------	7,8E-09	++++++-	cg02214623	-4,7	1,1E-06	150	2
CBY1	1,9E-02	-------	1,1E-27	+++++++	6,3E-23	-------	cg05949181	-7,3	1,3E-13	161	3
CCR2	1,3E-05	+-+++++	8,5E-38	-------	3,7E-09	-------	cg18052511	5,4	4,2E-08	92	6
GYPE	8,3E-02	-----++	7,1E-51	+++++++	3,9E-03	--+----	cg04514249	-2,8	2,3E-03	14	1
CTPS1	5,7E-05	-----?-	2,6E-17	-----?-	5,8E-06	-++++?-	cg14519252	-4,0	3,2E-05	104	2
SPON2	2,0E-01	-++++-+	6,0E-10	-----+-	1,2E-45	-------	cg05821186	5,7	7,1E-09	539	4
XPO4	8,3E-06	---?---	4,4E-12	---?---	1,3E-44	-++?+++	cg11845168	-6,2	2,7E-10	118	2
IPO4	7,1E-07	-------	5,6E-24	-------	1,2E-12	++++++-	cg09378756	-5,8	3,1E-09	331	9
BLOC1S1	5,2E-04	+++?+++	3,3E-32	---?---	1,4E-05	---?---	cg11848173	4,1	2,4E-05	171	6
DEDD	2,5E-04	+++++?+	1,7E-13	-----?-	4,3E-04	+---+?-	cg20609803	3,2	7,4E-04	216	0
LPHN1	6,6E-04	+------	5,9E-13	-----+-	3,5E-27	+++++++	cg06905453	-6,0	1,0E-09	225	7
PDZK1IP1	1,4E-07	-++++?+	1,0E-17	-----?-	3,0E-09	-----?-	cg11399254	4,9	5,4E-07	112	1
PLIN2	9,6E-04	-+++--+	1,1E-16	+-+----	1,8E-42	-------	cg01403030	7,1	6,7E-13	27	2
NA	5,6E-05	????-??	2,4E-14	????-??	7,4E-07	????+??	NA	-4,2	1,6E-05	189	1
STAT3	1,1E-07	+++++++	1,1E-16	+------	9,3E-30	+------	cg13053608	6,7	1,1E-11	263	14
SUPT3H	1,6E-02	----+++	6,3E-34	-------	1,1E-09	+++++++	cg07188523	-5,4	2,6E-08	76	9
HNMT	4,3E-03	---++++	3,9E-08	--+----	1,2E-10	-------	cg24718773	4,2	1,5E-05	12	3
CPNE8	7,6E-02	-+++++-	5,0E-12	++++++-	8,9E-02	++++---	cg09571762	1,7	5,0E-02	23	0
OPN3	2,1E-09	-----?+	1,2E-44	+++++?+	1,2E-10	-----?+	cg15775914	-5,9	2,4E-09	63	2
CPQ	9,3E-06	+++++++	1,0E-25	-------	8,3E-24	-------	cg21735068	7,3	2,0E-13	80	8
FKBP11	1,9E-04	-------	2,6E-28	-------	1,4E-07	+-+-+++	cg05580141	-4,8	1,0E-06	259	2
MTR	9,1E-06	-----?+	5,4E-07	-+---?+	1,5E-02	--+++?+	cg00328597	-2,2	1,4E-02	63	0
ZNF721	5,0E-05	------+	4,6E-26	-------	1,7E-10	+++++++	cg18244487	-5,5	2,3E-08	261	3
IRF1	5,7E-05	+++++++	9,5E-54	-------	4,4E-15	-------	cg13948857	7,0	1,3E-12	124	5
ZNF260	5,5E-03	+----+-	5,0E-57	+++++++	5,9E-03	---+---	cg22517995	-2,7	3,3E-03	100	0
GLA	1,9E-06	-?+++++	5,4E-16	-?-----	8,3E-07	+?----+	cg03714991	4,2	1,3E-05	122	2
AKAP7	2,6E-03	+--+++-	1,0E-39	-------	3,3E-05	+++++++	cg16736964	-4,0	3,8E-05	42	1
ILF2	2,8E-04	---+-?-	1,0E-60	-----?-	2,7E-21	-++++?-	cg08129092	-8,2	1,1E-16	176	11
UBTF	6,9E-04	-----++	8,7E-53	-------	3,5E-03	-++++++	cg02362984	-2,9	2,0E-03	289	0
NOB1	3,2E-03	+--?-++	4,0E-10	---?-+-	1,3E-11	-++?+++	cg04703221	-4,6	2,2E-06	90	1
NA	7,2E-01	????-??	1,0E-37	????-??	3,8E-02	????+??	NA	-2,1	2,0E-02	487	0
BPI	2,6E-05	-++++++	4,8E-24	-------	1,3E-06	---+---	cg16959758	4,4	6,5E-06	95	1
PSMB9	1,2E-04	-++?+++	2,1E-41	---?---	6,5E-46	---?---	cg12298697	9,8	6,6E-23	508	22
DENND1A	1,2E-05	-++++++	1,3E-04	++-++++	1,1E-04	+-+++--	cg14503395	2,7	3,3E-03	83	0
MPHOSPH9	2,7E-05	-------	3,2E-46	-------	2,8E-14	--+++++	cg15243578	-6,7	9,5E-12	205	11
OASL	5,1E-08	+++++++	1,4E-14	+------	4,8E-15	------+	cg07545743	5,5	2,0E-08	78	3
CTSC	2,8E-01	++??--+	4,3E-55	--??---	7,9E-10	--??---	cg27095222	5,7	5,3E-09	46	4
LAPTM4B	2,0E-04	----+--	3,6E-30	++-++++	2,3E-12	-------	cg03293015	-6,0	1,2E-09	93	16
EPG5	1,3E-02	-+++?-+	5,6E-27	----?--	6,6E-03	+---?--	cg21116457	2,6	4,2E-03	88	0
MYD88	2,1E-09	+++++++	1,4E-22	+----+-	1,6E-23	-+-+---	cg05620558	7,0	1,4E-12	95	7
BOD1	1,0E-06	-------	2,0E-42	-------	5,9E-25	+++++++	cg26235369	-8,2	9,4E-17	56	2
ACOT9	2,5E-04	+?+++++	2,5E-03	+?---+-	2,0E-01	+?-++--	cg26965695	1,2	1,2E-01	48	0
AGPAT3	5,0E-09	+++++++	4,1E-05	++-----	7,6E-04	------+	cg14606328	2,6	4,6E-03	159	0
CDK14	4,8E-01	+++-+--	2,5E-21	+------	1,9E-16	------+	cg03834767	6,2	2,6E-10	97	1
MEOX1	5,2E-03	++++++-	5,2E-20	--+----	1,7E-06	------+	cg20309891	4,2	1,1E-05	180	4
CALCOCO1	4,4E-04	+++-+++	4,5E-17	-----+-	6,5E-08	---+---	cg03998264	4,6	2,7E-06	214	2
ARHGAP15	4,4E-06	-------	3,0E-26	-------	4,8E-04	-+++-++	cg12192282	-3,3	4,6E-04	47	2
PAM	2,2E-02	++-++++	1,6E-76	++-++++	1,3E-13	+++++++	cg24531022	6,9	3,1E-12	52	6
RBM14	3,1E-08	-------	2,6E-50	-------	5,6E-23	+-+++++	cg02506324	-8,2	9,3E-17	306	6
ITPKB	1,8E-04	+----?-	3,6E-28	+++++?+	9,3E-31	-----?-	cg23038277	-8,0	8,6E-16	135	17
RPSA	1,5E-03	----?--	2,5E-21	----?--	1,1E-06	++++?++	cg24130739	-4,3	7,2E-06	87	2
EWSR1	2,4E-05	+------	1,4E-12	++-----	6,3E-16	+++-+++	cg04206417	-5,3	5,0E-08	135	8
RPS6KB1	6,9E-07	----+--	8,9E-05	-------	4,6E-09	-++-+++	cg01248878	-3,3	5,6E-04	115	0
BCCIP	1,9E-04	-------	5,9E-05	+--+-+-	1,4E-02	++++-+-	cg19440720	-2,1	1,8E-02	76	0
TFB2M	8,9E-06	+----?-	2,0E-21	+----?-	6,0E-06	-++++?+	cg18866281	-4,1	2,2E-05	75	1
GPR68	1,6E-04	+++++++	4,5E-74	-------	6,5E-26	-------	cg27042278	9,1	4,0E-20	113	12
DHX15	1,5E-07	-------	1,4E-26	-------	3,9E-13	-++++++	cg10307548	-6,0	9,8E-10	76	2
C1QTNF6	7,7E-04	-------	2,2E-13	-------	7,4E-08	-++++++	cg00083659	-4,3	7,1E-06	123	3
GORASP2	1,5E-04	+-----+	2,8E-06	-+---+-	2,0E-15	-++-++-	cg14713146	-4,0	2,7E-05	110	1
FAM43A	6,7E-06	+----++	6,0E-57	-------	3,8E-05	-+++---	cg03956042	-4,0	3,3E-05	81	2
SH2D2A	4,7E-02	+++++?+	2,2E-24	-----?-	7,9E-32	-----?-	cg25630380	7,7	7,0E-15	260	30
PRKRA	4,6E-09	-------	7,8E-53	-------	8,7E-04	+-++++-	cg05098551	-3,3	5,8E-04	83	1
MBTPS1	6,3E-06	+--?---	4,4E-10	-++?+++	3,8E-19	---?---	cg04006133	-5,1	1,6E-07	153	9
MGC57346	3,2E-06	-------	4,8E-35	-------	1,0E-33	+++++++	cg03954353	-8,6	2,7E-18	87	12
RUVBL1	3,3E-07	-------	1,9E-15	-------	3,4E-29	++++++-	cg04155862	-6,5	4,4E-11	104	7
STIP1	1,1E-03	-----+-	8,7E-34	-------	2,8E-17	+++++++	cg10675058	-6,9	2,1E-12	392	10
CD37	1,2E-07	+-----+	1,5E-21	+++++-+	1,0E-21	-------	cg14792008	-6,8	7,1E-12	277	2
POLE3	1,6E-08	-------	1,2E-30	+------	4,2E-31	++++++-	cg02003202	-8,2	1,6E-16	64	3
FAM220A	9,6E-08	+----+-	1,8E-10	+------	2,8E-10	-++++++	cg26780042	-4,5	3,6E-06	185	2
SFXN4	8,2E-05	-------	6,2E-37	+------	3,4E-06	-++++++	cg03075966	-4,4	6,5E-06	96	6
RPP21	5,8E-06	-------	1,2E-18	-------	2,1E-36	+++++++	cg13831136	-7,2	2,6E-13	741	24
PRKACB	3,5E-04	-----?-	9,1E-15	-----?-	5,8E-05	-++-+?-	cg19869443	-3,6	1,8E-04	68	1
TRIM38	3,0E-02	+++?++-	2,3E-24	---?---	1,6E-14	---?---	cg20765441	6,1	4,3E-10	237	1
LCLAT1	7,1E-02	-----++	5,5E-156	-------	4,1E-08	++++++-	ch.2.30415474F	-5,4	3,8E-08	59	6
ADAR	7,7E-06	+++++?+	3,3E-17	-----?-	8,5E-16	+--+-?+	cg26105956	5,8	2,9E-09	131	4
MATN2	2,4E-04	-------	4,9E-24	+++++++	1,4E-02	--+----	cg05087842	-2,4	8,5E-03	108	0
PJA1	2,9E-02	-?---++	1,2E-05	+?-----	1,4E-05	-?+++++	cg22844265	-3,1	1,0E-03	32	1
AGAP1	7,5E-03	+++++++	2,4E-84	+++++++	1,8E-27	++++-++	cg08767286	9,5	1,2E-21	308	49
ATAD1	9,0E-06	+-----+	4,8E-10	+----+-	2,0E-17	+++++++	cg25430838	-5,0	2,6E-07	116	3
CCDC57	8,2E-05	---+---	2,4E-35	-------	4,9E-09	+++++++	cg19284277	-5,3	6,0E-08	710	8
ABHD16A	3,8E-03	++++-++	1,1E-48	-------	1,9E-13	-------	cg09037630	6,6	2,4E-11	1399	25
POLRMT	1,8E-02	+------	2,8E-41	-------	5,9E-20	-++++++	cg14663914	-7,6	1,9E-14	374	31
TCERG1	7,6E-07	+------	3,7E-14	-------	2,1E-17	-++++++	cg18805457	-5,7	8,1E-09	70	2
WDR1	3,6E-02	++++---	5,9E-19	-------	6,6E-06	-------	cg26689780	4,0	2,9E-05	49	2
PODXL2	1,2E-03	+---+?-	1,1E-44	+++++?+	8,3E-04	-----?-	cg05768427	-3,3	5,8E-04	121	0
IQCG	6,7E-03	++-++++	2,6E-28	--+----	5,0E-16	+------	cg11938367	6,5	3,2E-11	96	2
PTK2B	4,9E-04	-++++++	7,4E-28	-------	1,7E-08	-+-----	cg16292768	5,0	2,7E-07	106	4
SPPL2A	6,4E-06	++++++-	2,1E-20	------+	1,0E-03	-----+-	cg23120725	3,1	9,6E-04	40	1
GNGT2	2,9E-05	+++++++	2,3E-19	-----+-	1,1E-31	-------	cg14235273	7,1	4,8E-13	138	18
IDH1	8,6E-02	-++++++	4,6E-03	-+-----	3,7E-04	-+-+---	cg19351166	2,2	1,3E-02	81	0
DCAF4	6,7E-05	-------	1,5E-02	++-++++	4,4E-03	----+-+	cg11490446	-1,9	3,2E-02	75	0
RBFA	7,4E-07	-------	6,2E-13	+++++++	3,8E-04	++-+--+	cg16173847	-3,2	7,2E-04	155	0
ALG13	4,7E-04	-?----+	9,3E-02	+?+++--	4,0E-08	+?----+	cg19963797	-1,6	5,5E-02	13	0
NEDD9	1,3E-02	++++--+	3,4E-12	+------	2,2E-10	+---+-+	cg07186962	4,7	1,4E-06	87	1
CHORDC1	1,8E-04	-------	1,1E-02	++++++-	1,8E-01	-+--++-	cg16886581	-1,2	1,2E-01	24	0
UBAC1	4,9E-08	+++++++	2,4E-29	-------	1,6E-03	----++-	cg13980944	3,0	1,2E-03	208	0
PRMT1	2,5E-04	-------	3,8E-26	+++++++	3,2E-14	-------	cg05262463	-6,2	3,5E-10	362	6
TMEM5	3,7E-02	+-??-+-	2,7E-14	+-??---	2,2E-10	--??+++	cg03529189	-4,9	5,5E-07	42	1
RPL11	5,2E-04	----+?-	1,0E-36	+++++?+	1,1E-18	-----?-	cg02343604	-7,2	2,3E-13	175	13
TRIB1	7,5E-03	+++?++-	4,4E-78	---?---	1,3E-38	---?--+	cg08913523	10,7	7,0E-27	57	7
SLC39A1	4,8E-05	+++++?+	1,0E-60	-----?-	1,0E-12	-----?-	cg08129092	6,5	3,0E-11	168	14
TLN1	6,4E-03	-++-+++	6,3E-15	+++++-+	1,9E-13	+++++++	cg15518883	5,4	4,4E-08	108	4
ZNF581	3,7E-02	+----++	5,0E-43	++-++++	2,3E-08	----+--	cg27537628	-5,2	1,1E-07	263	4
DZIP3	3,4E-01	---++?-	7,1E-08	-++++?+	1,1E-02	---++?-	cg19400179	-2,3	1,1E-02	37	0
CLNS1A	2,9E-06	-------	1,3E-17	+++++++	1,4E-10	-------	cg01072202	-5,1	1,5E-07	73	1
ACTN4	1,2E-07	+++-+++	6,2E-21	-------	8,5E-39	-------	cg24164702	7,6	1,3E-14	206	8
SURF6	8,2E-05	+------	8,5E-09	+------	4,7E-04	--+-++-	cg14541011	-3,0	1,4E-03	121	0
GPR97	1,1E-02	+++++-+	5,1E-36	-------	1,6E-50	------+	cg26819611	9,6	3,9E-22	154	19
AGPAT5	9,9E-04	-+-----	2,7E-08	+------	4,5E-04	+++++++	cg07089660	-3,0	1,5E-03	94	0
NA	1,2E-01	????+??	4,2E-29	????-??	1,8E-02	????-??	NA	2,3	1,0E-02	269	0
BMX	2,1E-01	-?+--++	1,0E-07	-?-----	7,9E-06	-?-++--	cg24643262	3,4	3,1E-04	106	1
RPAIN	1,9E-09	-------	5,0E-05	+----+-	1,0E-31	+++-+++	cg19060895	-3,8	6,4E-05	98	2
EPB41L4A	8,3E-02	-+++--+	1,2E-10	++++++-	3,8E-02	++-++++	cg06071701	2,0	2,4E-02	39	0
PTPN13	4,2E-01	++--?++	1,4E-10	++++?++	1,6E-01	--+-?+-	cg12647643	-1,4	8,5E-02	88	0
PLOD3	2,2E-03	++-++++	1,8E-37	++-++++	1,4E-05	-+++++-	cg10147075	4,1	2,0E-05	196	5
PRPF19	6,6E-05	-----++	3,2E-26	-------	1,6E-19	+++-+++	cg10704729	-6,9	3,1E-12	142	12
EBPL	6,9E-04	+-??---	1,0E-08	--??---	1,6E-07	++??+++	cg17741629	-3,9	5,5E-05	113	1
SLC20A1	5,4E-02	++-++-+	2,3E-20	------+	1,6E-41	-------	cg23407561	7,6	1,2E-14	82	9
TCTN1	3,9E-03	-+---+-	2,2E-35	--+----	3,3E-10	+-+++++	cg08752433	-5,6	1,0E-08	122	6
SMARCC1	9,2E-04	-------	5,4E-26	-------	2,8E-03	--+-++-	cg14700577	-2,9	2,0E-03	150	0
IFIT3	1,5E-08	-++++++	1,3E-13	+------	5,0E-24	-------	cg02314339	6,0	1,1E-09	90	7
TNFRSF1B	9,5E-04	-++-+?+	1,4E-45	+++++?+	3,8E-24	+++++?+	cg17494034	8,2	8,3E-17	144	14
UFM1	2,5E-04	---??--	3,7E-02	---??--	1,7E-01	-+-??++	cg00186034	-1,1	1,3E-01	11	0
ENPP4	6,9E-01	+--+---	2,6E-03	++-++-+	1,7E-03	+--+---	cg18137427	-2,2	1,5E-02	53	0
FBXO15	5,2E-04	----+-+	1,2E-20	-------	1,3E-03	++-++++	cg27020668	-3,1	1,2E-03	29	1
ARRB1	1,3E-08	+++++++	2,4E-27	-------	1,2E-13	-------	cg14343713	6,1	4,7E-10	141	6
SSH1	2,8E-07	+++++++	1,1E-26	-------	1,5E-07	-------	cg12492906	4,7	1,2E-06	124	9
EXOSC8	4,4E-06	-------	1,2E-71	-------	7,8E-04	-+++++-	cg03283486	-3,3	4,8E-04	80	1
TMEM230	1,2E-07	+--?---	1,5E-13	+--?---	1,4E-13	-++?+++	cg03854765	-5,2	8,7E-08	39	2
ZNF121	9,1E-02	+---??+	2,5E-06	++++??+	1,7E-01	---+??-	cg01272599	-1,3	9,3E-02	128	0
NLRP3	2,4E-03	+++-+?+	2,0E-54	+++++?+	2,8E-11	-++++?+	cg12655059	6,1	4,7E-10	110	9
FAM129B	9,9E-09	-++++++	2,6E-13	--+----	1,4E-15	-------	cg05514971	5,4	3,4E-08	111	3
METTL25	8,3E-03	---+---	5,9E-02	+---+-+	3,5E-02	+++++--	cg23529699	-1,4	8,0E-02	31	0
RPL27A	1,6E-05	-------	2,2E-36	-------	5,9E-12	-++++++	cg08726522	-6,0	7,7E-10	116	8
ZNF234	8,4E-04	-------	1,3E-69	+++++++	3,7E-10	-------	cg21887940	-5,9	1,8E-09	133	6
UBE2G2	5,3E-12	+------	1,8E-13	-----+-	1,6E-39	-++++++	cg11327657	-6,4	6,5E-11	180	6
NSUN5	2,1E-06	-------	2,1E-24	-------	2,2E-22	+++++++	cg20554353	-7,0	9,7E-13	78	3
CYB5A	1,9E-03	---+--+	3,8E-38	-------	2,8E-10	+-+-+++	cg16387467	-5,7	7,2E-09	69	3
KIAA0586	6,3E-04	----?--	5,4E-06	++++?++	7,6E-08	----?--	cg02078710	-3,5	2,6E-04	105	1
SETBP1	4,7E-01	-+-+--+	6,3E-50	-------	2,6E-08	------+	cg16705273	5,2	9,3E-08	40	1
USP13	4,5E-02	-+--+--	9,8E-32	-------	2,3E-02	-++++++	cg10772304	-2,2	1,3E-02	69	0
TOX	2,4E-01	-++++--	8,7E-08	--+----	1,1E-11	-------	cg24609101	4,2	1,3E-05	58	2
CCR9	9,3E-05	----??-	9,8E-13	-+++??+	4,2E-02	+---??-	cg05705212	-2,0	2,5E-02	98	0
HSPA8	1,5E-07	-------	1,6E-14	+------	1,0E-61	-++++++	cg05928849	-7,0	1,6E-12	102	4
